Year,Man-made,Weather related,Earthquake,Natural catastrophy
1970,2.61,3.08,0,3.08
1971,1.91,0.64,0.19,0.83
1972,2.49,2.1,78,2.88
1973,3.34,3.5,0,3.5
1974,3.23,5.09,0,5.09
1975,3.16,2.7,0,2.7
1976,3.71,3.54,0.32,3.86
1977,4.65,1.49,0,1.49
1978,3.47,3.37,0,3.37
1979,7.1,6.39,0,6.39
1980,5.42,2.55,0.2,2.75
1981,2.16,2.85,0.01,2.87
1982,4.27,6.5,0,6.5
1983,3.06,9.51,0.01,9.61
1984,3.04,5.36,0,5.36
1985,3.54,7.51,1.45,8.96
1986,3.56,2.37,0.51,2.88
1987,4.52,11.55,2,13.55
1988,8.65,5.24,0.02,5.27
1989,9.67,15.69,3.18,18.87
1990,6.44,35.88,0.31,36.19
1991,6.43,21.89,0.17,22.06
1992,7.98,41.33,0.15,41.48
1993,5.86,15.75,0.34,6.09
1994,7.64,10.56,24.81,35.38
1995,4.28,19.21,0.94,23.16
1996,7.16,13.74,0.11,13.85
1997,6.6,8.96,0.16,9.13
1998,6,23.76,0.08,23.84
1999,8.36,38.23,3.29,41.52
2000,6.14,11.67,0.03,11.7
2001,34.98,15.1,0.9,15.99
2002,4.07,18.6,0.01,18.6
2003,4.23,22.88,0.58,23.46
2004,4.57,53.66,3.48,57.14
2005,6.69,125.57,0.33,125.9
2006,6.07,14.89,0.1,14.99
2007,6.68,27.35,0.65,28
2008,9.35,48.97,0.47,49.44
2009,4.39,23.85,0.68,24.54
2010,5.25,32.97,14.86,47.84
2011,6.86,70.18,57.22,127.4
2012,6.15,73.17,1.79,74.96
2013,7.97,36.75,0.05,36.79
2014,7.14,28.96,0.32,29.28
2015,9.1,27.58,0.52,28.1
2016,7,34.9,7.41,42.32
